delivery_id,name,node_x,node_y,lon,lat,demand
33,배송지_33,956089.8441366567,1950864.5044444078,127.00285255325076,37.55608333823282,1
34,배송지_34,951113.8441366567,1951360.5044444078,126.94648387600479,37.56030321326475,2
35,배송지_35,955429.8441366567,1949959.5044444078,126.99543534139512,37.54789465964179,2
36,배송지_36,953433.8441366567,1949661.5044444078,126.97285902753347,37.54511000712045,1
37,배송지_37,954774.8441366567,1951391.5044444078,126.98793225464912,37.56076967725773,2
38,배송지_38,952636.8441366567,1950146.5044444078,126.96380582778329,37.54944078780495,1
39,배송지_39,954042.8441366567,1952361.5044444078,126.9795835815035,37.56947623862586,2
40,배송지_40,956297.8441366567,1951198.5044444078,127.00518752623479,37.55910365302835,1
41,배송지_41,951619.8441366567,1953176.5044444078,126.9520929625515,37.57669781146811,1
42,배송지_42,954434.8441366567,1952514.5044444078,126.9840128897569,37.57087474128467,1
43,배송지_43,951238.8441366567,1950574.5044444078,126.94795140151473,37.553225495904975,1
44,배송지_44,955262.8441366567,1953174.5044444078,126.99334865484539,37.576864062283384,1
45,배송지_45,953266.8441366567,1953036.5044444078,126.970753486767,37.57552106572845,2
46,배송지_46,955705.8441366567,1950949.5044444078,126.99849995197562,37.55683107740305,1
47,배송지_47,956044.8441366567,1950453.5044444078,127.00236771777627,37.55237674911815,2
48,배송지_48,952092.8441366567,1952425.5044444078,126.95749858850382,37.569953676914814,1
49,배송지_49,954476.8441366567,1949710.5044444078,126.98466257553524,37.545603772826674,1
50,배송지_50,955652.8441366567,1950011.5044444078,126.99795662147363,37.548374108720864,2
51,배송지_51,955485.8441366567,1949048.5044444078,126.9961245443644,37.53968629591191,2
52,배송지_52,955436.8441366567,1952947.5044444078,126.99533295484241,37.57482650671487,1
53,배송지_53,955337.8441366567,1952336.5044444078,126.99424908603407,37.569314640698266,1
54,배송지_54,953484.8441366567,1952538.5044444078,126.97325382669875,37.571043548062384,2
55,배송지_55,952318.8441366567,1952916.5044444078,126.96002576061984,37.57439086844042,2
56,배송지_56,950878.8441366567,1949711.5044444078,126.94393363208236,37.54542800815399,2
57,배송지_57,952128.8441366567,1949584.5044444078,126.95809170960341,37.5443491195897,1
58,배송지_58,953293.8441366567,1952354.5044444078,126.97110271945333,37.56937545367921,1
59,배송지_59,954582.8441366567,1951367.5044444078,126.98575987634412,37.56054391167621,2
60,배송지_60,955786.8441366567,1951838.5044444078,126.99936339187997,37.564847729357986,2
61,배송지_61,951130.8441366567,1952837.5044444078,126.9465778681145,37.57361652733673,1
62,배송지_62,954103.8441366567,1952186.5044444078,126.98028527594472,37.567901973344995,1
63,배송지_63,951198.8441366567,1951808.5044444078,126.94741642877979,37.564345612918856,1
64,배송지_64,955425.8441366567,1950532.5044444078,126.99535524003852,37.55305905206987,2
65,배송지_65,954272.8441366567,1949166.5044444078,126.98238721385171,37.54069047375975,1
66,배송지_66,952740.8441366567,1951196.5044444078,126.96491549322572,37.55890997756738,1
67,배송지_67,956552.8441366567,1950085.5044444078,127.00814057259262,37.549083969344366,1
68,배송지_68,952314.8441366567,1951055.5044444078,126.960101539061,37.55761716227587,2
69,배송지_69,956611.8441366567,1953279.5044444078,127.00861942995087,37.57787502981657,1
70,배송지_70,950863.8441366567,1950181.5044444078,126.94373235531968,37.549663397407684,1
71,배송지_71,955585.8441366567,1949303.5044444078,126.99724101577918,37.54198950068553,1
72,배송지_72,955789.8441366567,1950419.5044444078,126.9994829202176,37.552058096634,1
73,배송지_73,956161.8441366567,1950480.5044444078,127.00369065786545,37.55262568185802,2
74,배송지_74,953261.8441366567,1952322.5044444078,126.97074240870506,37.569085408134946,1
75,배송지_75,951412.8441366567,1951797.5044444078,126.94984021277911,37.56425778464407,1
76,배송지_76,953685.8441366567,1952932.5044444078,126.97550499526716,37.57460487349082,2
77,배송지_77,956632.8441366567,1952334.5044444078,127.00891318664881,37.56935852468178,1
78,배송지_78,953110.8441366567,1951044.5044444078,126.96911431598997,37.557558883875295,2
79,배송지_79,953163.8441366567,1953082.5044444078,126.96958413093512,37.57593043605948,2
80,배송지_80,952582.8441366567,1949847.5044444078,126.96321384932624,37.54674306446395,1
81,배송지_81,952661.8441366567,1949125.5044444078,126.96415471251471,37.540239592556254,2
82,배송지_82,951291.8441366567,1949462.5044444078,126.94862524763468,37.54320564981704,1
83,배송지_83,955285.8441366567,1952624.5044444078,126.99364268926566,37.57190791994329,2
84,배송지_84,954836.8441366567,1951321.5044444078,126.98863854424285,37.56014179480168,1
85,배송지_85,954958.8441366567,1949818.5044444078,126.99011214825941,37.546600889050595,2
86,배송지_86,956059.8441366567,1951517.5044444078,127.00247377342973,37.56196755053136,2
87,배송지_87,956284.8441366567,1949773.5044444078,127.00512527563363,37.54625915631699,2
88,배송지_88,953639.8441366567,1952494.5044444078,126.97501179129264,37.57065478670964,1
89,배송지_89,951652.8441366567,1950917.5044444078,126.95261568611946,37.55633883419103,1
90,배송지_90,952087.8441366567,1950519.5044444078,126.95756653547852,37.552774319030824,1
91,배송지_91,954757.8441366567,1952164.5044444078,126.98769206667224,37.56773605142615,1
92,배송지_92,954298.8441366567,1950821.5044444078,126.9825784098778,37.55560865013638,2
93,배송지_93,956414.8441366567,1949450.5044444078,127.0066160698427,37.5433540307205,1
94,배송지_94,952710.8441366567,1949602.5044444078,126.96467860721678,37.544541408001116,2
95,배송지_95,952689.8441366567,1953822.5044444078,126.96416853477437,37.58257592630993,2
96,배송지_96,952852.8441366567,1953555.5044444078,126.9660317755094,37.58017778090063,1
97,배송지_97,953625.8441366567,1952511.5044444078,126.9748521837877,37.57080730564383,1
98,배송지_98,953399.8441366567,1950341.5044444078,126.97243095799246,37.5512372710717,2
99,배송지_99,955241.8441366567,1953858.5044444078,126.99306903901832,37.58302806376828,1
100,배송지_100,952236.8441366567,1952906.5044444078,126.95909782597184,37.57429648577142,1
